product_id,department_id,product_name,aisle_id
3856,20,Deli Fresh Smoked Turkey Breast,96
3873,7,Mountain Spring Water,115
3880,3,Corn Maize Tortillas,128
3896,3,Organic Honey Sweet Whole Wheat Bread,112
3919,3,Hearty Grains 100% Whole Wheat English Muffins,93
3957,7,100% Raw Coconut Water,31
3999,4,Bosc Pear,24
4034,9,Mushroom Ravioli,12
4086,4,Mint,16
4102,18,Hot Kid Organic Baby Mum-Mum Original Rice Rusks,92
4103,1,Original Turkey Burgers Smoke Flavor Added,34
4163,9,Spanish Rice Pilaf Mix,4
4288,15,Gluten Free Cafe Chicken Noodle Soup,69
4306,19,Simply Naked Pita Chips,107
4335,17,Heavy Duty Paper Plates,111
4339,7,Pure Camomile Herbal Tea Bags,94
4357,16,Organic Chocolate Almondmilk Pudding,71
4366,19,Multi-Grain Sea Salt Crackers,78
4376,19,Coconut Kale & Cacao Organic Superfoods Bar,3
4421,12,Organic Beef Uncured Hot Dogs,106
4428,1,Organic Mushroom & Olive Pizza,79
4461,13,Organic Raw Unfiltered Apple Cider Vinegar,19
4462,7,Pink Lady Apple Kombucha,94
4549,11,Umcka Elderberry Intensive Cold + Flu Berry Flavor,11
4562,4,English Seedless Cucumber,83
4595,20,Italian Dry Salame,96
4597,20,"Organic Tempeh, Garden Veggie",14
4602,5,Lucky 13 Ale,27
4661,11,Aloe Vera Gel (Whole Leaf),47
4697,1,"Eggs, Cheese & Turkey Sausage Breakfast Burrito",52
4799,16,Shredded Parmesan,21
4818,2,Classic Vanilla Coffee Creamer,6
4913,19,Table Water Crackers,78
4920,4,Seedless Red Grapes,123
4957,16,Total 2% Lowfat Greek Strained Yogurt With Blueberry,120
4972,13,Mediterranean Fine Sea Salt,104
4982,14,Organic Stoneground Flakes Cocoa Clusters Cereal,121
5029,1,Chocolate Chip With Vanilla Bean Ice Cream,37
5067,13,Original Syrup,29
5068,4,Cauliflower Florets,32
5069,16,Danimals Strawberry Explosion & Strikin' Strawberry Kiwi Smoothies,120
5077,3,100% Whole Wheat Bread,112
5086,7,"Almondmilk, Pure, Chocolate Protein",64
5098,13,Golden Brown Pure Cane Sugar,17
5115,16,Organic Medium Brown Eggs,86
5134,19,Organic Thompson Seedless Raisins,117
5183,1,Sesame Chicken,38
5194,19,Organic Bunny Fruit Snacks Berry Patch,50
5212,4,Watermelon Chunks,123
5258,7,Sparkling Water,115
5265,21,Sparkling Apple,100
5373,15,Organic No Salt Added Diced Tomatoes,81
5384,7,Strawberry Banana Smoothie,98
5438,20,Prosciutto,96
5445,7,Protein Zone Protein Juice Smoothie,31
5450,4,Small Hass Avocado,24
5460,16,Butter,36
5516,13,Bread Machine Yeast,17
5534,11,Simply Venus Pink Women's Disposable Razor,55
5578,4,Okra,83
5612,16,Reduced Fat Milk,84
5646,12,Organic Turkey Bacon,106
5652,4,Organic Red Potatoes,83
5757,19,"Nuts & Spices, Dark Chocolate Mocha Almond",3
5785,16,Organic Reduced Fat 2% Milk,84
5819,4,Baby Carrots,123
5876,4,Organic Lemon,24
5959,1,Four Cheese Thin Crust Pizza,79
5985,4,Red Bell Peppers,32
5987,4,Mandarins,123
5994,15,Traditional Refried Beans,59
6046,12,Boneless Skinless Chicken Breast,35
6075,7,Lipton Diet Citrus Iced Green Tea,94
6104,16,Whole Milk Plain Yogurt,120
6128,19,Original Fresh Stack Crackers,78
6141,15,Low Sodium Beef Broth,69
6184,4,Clementines,32
6187,14,Raisin Bran Cereal,121
6193,16,Organic Fancy Shredded Mozzarella Cheese,21
6236,4,BBQ Ranch Chopped Salad,123
6297,19,Cheese Puffs Original,107
6341,16,Brown Eggs,86
6343,1,"Pizza Poppers, Three Cheese",129
6369,13,Chunky Peanut Butter,88
6447,19,All Natural Bar Peach,3
6448,19,Smartfood White Cheddar Cheese Popcorn,23
6615,16,Mozzarella Cheese,21
6679,18,"Organic 2nd Foods Apples, Blueberries & Spinach Baby Food",92
6818,16,Watermelon/Mixed Berry Variety Pack Low-Fat Greek Yogurt,120
6890,13,Red Wine Vinegar,19
6901,14,Raisin Bran,121
6905,16,Marinated Cabecou,21
6994,17,Extra Strong 30 Gallon Large Trash Bags,60
7035,21,Peanut Butter Ice Cream Cup,100
7104,1,Vanilla Ice Cream in wafer cups,37
7123,17,Toilet Bowl Cleaner Clinging Bleach Gel,114
7131,16,Light Semisoft Cheese,21
7147,4,Classic Baby Creamers Potatoes,83
7414,3,Wheat Hamburger Buns,43
7461,15,Pinto Beans No Salt Added,59
7503,19,Whole Almonds,117
7509,16,Vanilla Almond Milk,91
7552,9,Organic Capellini Whole Wheat Pasta,131
7559,13,Cinnamon Rolls with Icing,105
7597,15,Whole Kernel Corn Golden Sweet,81
7736,19,Premium Original Saltine Crackers,78
7751,13,Tomato Ketchup,72
7754,18,Take & Toss 10oz Cups w/ Straws,82
7781,16,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21
7821,13,Olive Oil & Vinegar Dressing,89
7862,1,Raw Shrimp,34
7987,13,Hazelnut Spread with Cocoa,88
8012,1,Pizza 4 Cheese,79
8013,9,Cup Noodles Chicken Flavor,4
8022,1,Spinach Pizza,79
8048,4,Packaged Grape Tomatoes,32
8087,7,Florida Orange Juice With Calcium & Vitamin D,31
8153,16,Plain Non-Fat Greek Yogurt,120
8193,4,Russet Potato,83
8277,4,Apple Honeycrisp Organic,24
8414,12,Traditional Scottish Style Smoked Salmon,15
8424,4,Broccoli Crown,83
8475,7,Diet 12 Oz Ginger Ale,77
8490,16,Strawberry Rhubarb Yogurt,120
8518,4,Organic Red Onion,83
8571,4,Baby Cucumbers,32
8670,15,Diced Tomatoes,81
8693,21,Dairy Free French Vanilla Creamer Almond Milk,100
8805,1,Vanilla Frozen Yogurt,37
8841,6,Classic Stir-fry Sauce,66
8859,7,Natural Spring Water,115
9038,16,American Cheese slices,21
9047,11,Premium Epsom Salt,133
9076,1,Blueberries,116
9130,19,Honey Graham Snacks,61
9133,9,Original Long Grain & Wild Rice Mix,4
9189,4,Organic Avocados 5 Count,32
9203,16,Dairy Free Coconut Milk Raspberry Yogurt Alternative,120
9210,12,Fresh Whole Chicken,49
9252,9,Signature Recipes Four Cheese Alfredo Pasta Sauce,9
9322,19,Gluten Free The Perfect 10 Crackers,78
9339,12,Organic Chicken & Apple Sausage,106
9373,16,Organic 2% Buttermilk,84
9387,4,Granny Smith Apples,24
9412,15,Healthy Request Harvest Tomato with Basil Soup,69
9438,19,Honey Graham Sticks,61
9477,16,Medium Cheddar Cheese,21
9509,6,Basmati Brown Rice,76
9515,1,Natural Classic Pork Breakfast Sausage,52
9554,1,Mocha Almond Fudge Minis Almond Milk Frozen Dessert,37
9584,7,Low Sodium Original 100% Vegetable Juice,98
9595,1,Organic Homestyle Mini Waffles,52
9598,15,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,99
9618,7,Wild Berry Sparkling Energy Water,64
9708,19,Original Shoestring Potatoes,107
9741,1,Cheese Pizza,79
9762,9,"Freshly Made. Filled with Creamy Ricotta, Aged Parmesan and Romano Cheeses Mixed Cheese Tortellini",12
9804,1,Four Cheese Pizza,79
9896,12,Uncured Applewood Smoked Bacon,106
9932,13,Natural Creamy Peanut Butter,88
9973,15,Applesauce On The Go Apple Strawberry Pouches,99
9996,6,Less Sodium Soy Sauce,66
10054,14,Kellogg's Nutri-Grain Apple Cinnamon Cereal,48
10089,20,Dolmas,13
10132,16,Organic American Cheese Singles,21
10243,17,Parchment Paper,85
10246,4,Organic Celery Hearts,83
10305,4,Black Plum,24
10329,4,Broccoli & Carrots,123
10369,20,Organic Genoa Salami,96
10385,4,Organic English Cucumber,83
10504,4,Yukon Gold Potatoes 5lb Bag,83
10580,20,Pepperoni,96
10602,3,Brioche Hamburger Buns,43
10631,16,"Balanced Breaks Natural Sharp White Cheddar Cheese, Cashews, Golden Raisin Medley Snacks",108
10644,13,Italian Extra Virgin Olive Oil,19
10673,3,Original Nooks & Crannies English Muffins,93
10724,19,Dark Chocolate Coconut Almond Bark,45
10749,4,Organic Red Bell Pepper,83
10814,12,Applewood Smoked Bacon,106
10878,9,Organic Garden Vegetable Pasta Sauce,9
10904,14,Original Paleo Krunch Granola,57
11061,21,Garlic & Herb Jack Sliced Cheese,100
11063,16,Clover Org Greek Plain,120
11109,16,Organic 4% Milk Fat Whole Milk Cottage Cheese,108
11121,1,Original Whipped Topping,119
11123,7,Vitamin Water Zero Squeezed Lemonade,64
11136,15,Organic Low Sodium Chicken Cooking Stock,69
11182,4,Baby Spinach,123
11249,1,Nacho Cheese & Bean Snacks,129
11250,13,Organic Hot Salsa,51
11262,14,Extra Thick Whole Grain Rolled Oats,130
11301,15,Free Range Organic Chicken Broth,69
11311,15,Applesauce On The Go Apple Mango Pouches,99
11352,19,Organic Mini Sandwich Crackers Peanut Butter,78
11361,16,Pure Almond Unsweetened Original Almond Milk,91
11365,4,Leaf Spinach,32
11422,16,Plain Greek Yogurt,120
11432,4,Chopped Kale,123
11494,21,Cookie Dough Ice Cream Chocolate Chip,100
11520,16,Large Alfresco Eggs,86
11689,16,On the Go Low Fat Cottage Cheese,108
11703,15,Clams Minced In Clam Juice,95
11737,16,Organic Lemon Lowfat Yogurt,120
11758,13,Arrowroot Starch/Flour,17
11759,19,Organic Simply Naked Pita Chips,107
11767,16,Greek Vanilla Yogurt,120
11776,19,Baked Sea Salt & Vinegar Potato Chips,107
11777,4,Red Raspberries,123
11790,13,Natural Vanilla Marshmallows,17
11801,11,Vinyl Glove Powder Free,118
11821,16,Organic Milk Whole,84
11827,13,Chunky Medium Salsa,51
11913,19,Shelled Pistachios,117
11941,3,"Tortillas, Corn, Organic",128
12078,16,Shredded Mexican Blend Cheese,21
12206,9,Basil Pesto,9
12211,6,Gluten Free Organic Taco Sliders Corn Tortillas,30
12260,13,Ground Cinnamon,104
12320,9,Organic Italian Herb Pasta Sauce,9
12341,4,Hass Avocados,32
12383,9,Organic Elbows & Creamy Mild Cheddar Sauce Creamy Deluxe Macaroni Dinner,4
12419,4,Organic Sage,16
12456,12,Organic Sunday Bacon,106
12481,19,Oreo Chocolate Sandwich Cookies,61
12508,4,Red Bell Pepper,83
12545,16,French Vanilla Coconut Milk Creamer,91
12565,1,Family Pack Beef & Bean Chimichangas,38
12626,17,Complete ActionPacs Lemon Burst Dishwasher Detergent,74
12720,16,Light Spread Butter Substitute,36
12738,16,Original Spray,36
12815,4,Red Pearl Onions,83
12838,6,Sweet Red Chili Dipping & All-Purpose Sauce,66
12845,19,Chopped Walnuts,117
12897,16,Creamy Spicy Pepper Jack Cheese Wedge,21
12899,16,Fresh Mozzarella All-Natural Sliced Cheese,21
12906,3,Sliced Carrot Loaf,112
12935,16,Organic Pasture Raised Brown Eggs,86
12939,4,Jumbo Garlic,83
12945,9,Signature Recipes Vodka Sauce Pasta Sauce,9
12986,14,Cinnamon Multigrain Cereal,121
13031,1,Pizza Roasted Vegetable No Cheese,79
13042,14,with Crispy Almonds Cereal,121
13087,16,GoGurt Yogurt Tubes Strawberry and Blue Raspberry,120
13093,16,Camembert,2
13113,7,Organic Apple Juice Boxes,98
13176,4,Bag of Organic Bananas,24
13225,16,Lowfat Milk,84
13231,13,Organic Cayenne Pepper,104
13380,19,Organic Blue Corn Tortilla Chips,107
13409,16,Dubliner Wedge Pre Cut Cheese,2
13417,1,Strawberry Frozen Greek Yogurt Bars,37
13424,19,Almonds,45
13431,13,Flaky Biscuits,105
13500,16,Mild Sliced Cheddar Cheese,21
13517,3,Whole Wheat Bread,112
13535,13,Organic Medium Salsa,51
13620,20,Decker Bundle,13
13702,3,Good Seed Organic Thin Sliced Bread,112
13724,13,Fresh Tartar Sauce,72
13733,4,Red Potatoes,83
13780,4,Thyme,16
13829,13,Mild Salsa,51
13984,4,Organic Mint,16
14087,19,Original/Ranch/BBQ/Chile Picante con Limon Variety Pack,107
14197,9,Tomato Paste,9
14218,16,Grade A Large Eggs Cage Free Omega 3,86
14381,19,Whole Grain Cheddar Baked Goldfish Crackers,78
14390,19,Oreo Mini Bite Size Chocolate Sandwich Cookies,61
14399,7,Limeade,31
14477,9,Organic Spaghetti,131
14511,16,Grated Pecorino Romano,2
14612,13,Sea Salt Grinder,104
14636,1,Eggo Chocolate Chip Pancakes 12 Count,52
14726,1,"Mini 8\"" Italian Pizza Crusts",79
14852,9,All Natural Marinara Sauce,9
14867,19,Honey Bunny Grahams,61
14875,3,Soft & Smooth Whole Grain White Bread,112
14947,7,Pure Sparkling Water,115
14966,4,Organic Mandarins,24
14976,13,Organic Paprika,104
14992,4,Green Beans,83
15093,19,Xpolsive Pizza Baked Snack Crackers,78
15200,4,Organic Green Beans,83
15261,4,Organic Rosemary,16
15359,13,All Purpose Flour,17
15392,13,Organic Mayonnaise,72
15396,7,Organic Lime Juice,98
15455,13,Organic Extra Virgin Oil Olive,19
15468,13,Sweet Basil,104
15579,1,Light in Sodium Black Bean Vegetable Enchilada Entree,38
15649,4,Baby Seedless Cucumbers,83
15742,1,"Gelato Dessert, Amalfi Lemon",37
15763,9,PastaJoy Brown Rice Pasta Elbow,131
15772,4,Pineapple Spears,32
15842,16,Dairy Free Coconut Milk Yogurt Alternative,120
15861,11,Eucalyptus Castile Liquid Soap,25
15872,4,Celery Hearts,83
15887,11,Rosemary Hand Soap,25
15937,4,Shallot,83
15984,16,Almond Milk Blueberry Yogurt,120
15995,15,Organic Cinnamon Apple Sauce,99
16001,7,Coffee Mexican Vanilla,26
16083,16,Organic Large Brown Eggs,86
16108,13,Deli-Sliced Hot Jalapeño Peppers,110
16179,4,Taro Root,83
16185,16,Sharp Cheddar Cheese,21
16198,12,Natural Uncured Turkey Hot Dog,106
16254,19,ZBar Organic Chocolate Brownie Energy Snack,3
16262,3,Everything Bagels,93
16277,4,Broccoli,83
16339,16,Aged Reserve Cheese,21
16387,7,Cold-Pressed Organic Grapefruit,98
16521,19,Walnut Halves & Pieces,117
16541,12,Grass Fed Angus Ground Beef 93/7,7
16584,19,Organic Dried Sweetened Cranberries,117
16616,4,Organic Sliced White Mushrooms,123
16696,7,Coke Classic,77
16714,7,Mocha Frappucino Chilled Coffee Drink,26
16748,17,Free & Clear Natural Dish Liquid,114
16759,4,Organic Carrot Bunch,83
16797,4,Strawberries,24
16823,15,Organic Beef Broth,69
16900,19,Original Whole Grain Chips,107
16911,11,Gluten Free Apple Uncured Bacon Beef Bar,65
16953,13,Creamy Peanut Butter,88
16998,11,Ibuprofen Caplets,133
17008,16,Shredded Sharp Cheddar Cheese,21
17038,6,Wasabi Roasted Seaweed Snacks,66
17122,4,Honeycrisp Apples,24
17203,3,Cracked Wheat,112
17261,18,2nd Foods Organic  Pear and Spinach Baby Food,92
17316,16,Vitamin D Organic Whole Milk,84
17417,19,Reduced Fat Original Potato Crisps,107
17526,19,70% Dark Chocolate Salted Almond Bar,45
17616,19,Goldfish Cheddar Baked Snack Crackers,78
17630,16,YoKids Squeeze! Organic Strawberry Flavor Yogurt,120
17652,1,Air Chilled Breaded Chicken Breast Nuggets,129
17678,13,Large Pitted California Ripe Olives,110
17730,19,Peanut Toffee Buzz Energy Bar,3
17747,17,Plastic Wrap,54
17758,16,Strawberry Rhubarb Yoghurt,120
17779,1,Lightly Breaded Fishies,129
17794,4,Carrots,83
17807,1,Gluten Free Blueberry Waffles,52
18023,7,Organic Coconut Water,115
18078,4,Wild Arugula,123
18094,9,Organic Creamy Deluxe Macaroni Dinner Rotini & White Cheddar Sauce,4
18117,13,100% Organic Unbleached All-Purpose Flour,17
18159,4,Organic Biologique Limes,123
18196,12,Chorizo Pork,106
18200,19,Aged White Cheddar Gluten-Free Baked Rice And Corn Puffs,107
18288,19,Sea Salt Potato Chips,107
18339,7,100% Lemon Juice,98
18352,14,Flax Plus Organic Pumpkin Flax Granola,57
18394,4,Asian Chopped Salad with Dressing,123
18432,4,Sweet Butter Salad,123
18441,13,Organic Ketchup,72
18465,16,Organic Grade A Free Range Large Brown Eggs,86
18531,16,Organic Heavy Whipping Cream,53
18599,9,Garlic Couscous,4
18624,19,Pecan Chips,117
18656,4,Organic Red Potato,83
18721,19,"Baked Rice and Corn Puffs, Aged White Cheddar",107
18761,13,Balsamic Vinegar Of Modena,19
18792,19,Goldfish Pretzel Baked Snack Crackers,78
18830,7,Pressed Cool Pineapple,98
18881,1,Coconut Milk Vanilla Frozen Dessert,37
18926,16,Fat Free Strawberry Yogurt,120
19008,16,Vitamin D Full Fat Milk,84
19051,19,"Pita Chips, Simply Naked, Party Size",107
19057,4,Organic Large Extra Fancy Fuji Apple,24
19068,12,Boneless And Skinless Chicken Breast,35
19173,7,Orange Calcium & Vitamin D Pulp Free,98
19261,3,Rocky Mountain Sourdough Bread,112
19310,1,Mashed Sweet Potatoes,129
19348,16,Fat Free Milk,84
19446,20,Thick & Chunky Salsa,67
19490,16,Tomato & Basil Jack Cheese Slices,21
19508,3,Corn Tortillas,128
19565,13,Truvia Sweetener Packets,17
19604,4,Medium Scarlet Raspberries,24
19643,19,Lay's Wavy Original Potato Chips Family Size,107
19653,13,Rich Taste Extra Virgin Olive Oil,19
19658,1,Hash Brown Potato Patties,129
19660,7,Spring Water,115
19672,17,Roaster/Baker Pans & Lids,10
19731,7,Organic Orange Juice With Calcium & Vitamin D,31
19816,3,Sonoma Traditional Flour Tortillas 10 Count,128
19828,4,Red Delicious Apples,24
19863,19,Classic Potato Chips,107
19950,3,Cauliflower Pizza Crusts,128
19970,1,Gourmet Mochi Ice Cream Vanilla Bonbons,37
19977,16,Light & Fit Greek Cherry Yogurt,120
20039,19,Sea Salt & Pepper Popcorn,23
20082,16,Organic Whole Milk with DHA Omega-3,84
20084,7,Pineapple Apple Mint Organic Cold Pressed Juicd,31
20156,16,Mixed Berry Yogurt,120
20378,15,Chicken Broth,69
20512,14,Original Cereal,121
20520,15,Mild Diced Green Chiles,81
20574,20,Roasted Turkey,96
20649,19,Refresh-Mint Chewing Gum,46
20711,17,Choose-A-Size White Paper Towels 8 Giant Rolls,54
20738,3,Plain Bagels,93
20889,11,Natural Fluoride-Free Toothpaste Fresh Mint,20
20940,16,Organic Low Fat Milk,84
20995,1,Organic Broccoli Florets,116
21019,20,Roasted Red Pepper Hummus,67
21050,17,"Bathroom Tissue, 1‑Ply, 1000 Sheet Rolls",54
21137,4,Organic Strawberries,24
21158,3,Everything Bagel,93
21174,4,I Heart Baby Kale,123
21195,13,Organic Extra Virgin Olive Oil,19
21240,7,Orange Sports Drink,64
21288,4,Blackberries,24
21351,14,Nutri-Grain Soft Baked Strawberry Cereal Breakfast Bars,48
21405,4,"Organic Red Radish, Bunch",83
21494,13,Chipotle Ranch Vinaigrette Dressing,89
21553,16,Lowfat 2% Milkfat Cottage Cheese,108
21572,19,Cheez-It Cheddar Cracker,78
21573,20,Roasted Pine Nut Hummus,67
21616,4,Organic Baby Arugula,123
21634,19,Organic Oat Cakes,61
21709,7,Sparkling Lemon Water,115
21783,1,Coconut Milk Vanilla Mini Sandwiches,37
21881,7,Pear Nectar,98
21901,16,Le Petite Fromage Parmesan & Basil,2
21903,4,Organic Baby Spinach,123
21914,19,Peanut Butter & Jelly Fruit & Nut Food Bar,3
21938,4,Green Bell Pepper,83
21955,9,All Natural Marinara Pasta Sauce,9
22034,13,Rosemary,104
22035,16,Organic Whole String Cheese,21
22071,20,Ham & Cheddar Lunchable,13
22089,16,Vitamin D Milk,84
22105,16,Ultra Thin Sliced Provolone Cheese,21
22142,13,100% Pure Pumpkin,17
22151,16,Tart Cherry Yoghurt,120
22206,14,Multi Grain Cheerios Cereal,121
22211,17,Free & Clean Unscented Hand Soap,114
22242,3,Swirl Bread Cinnamon,112
22260,10,Organic Rolled Oats,68
22270,9,Organic Classic Marinara Pasta Sauce,9
22312,4,Organic Cherry Tomatoes,83
22395,15,Tomato Sauce,81
22425,19,Hickory Honey Barbeque Baked Potato Chips,107
22491,7,"Water, Unsweet, Blood Orange",115
22504,13,Organic Mountain Forest Amber Honey,29
22802,7,Mineral Water,115
22849,4,Bunny-Luv Fresh Organic Carrots,123
22882,16,Light Mozzarella String Cheese,21
22888,12,90% Lean Ground Beef,122
22935,4,Organic Yellow Onion,83
22963,20,Organic Roasted Turkey Breast,96
23044,16,Cream Top Smooth & Creamy Vanilla Yogurt,120
23094,15,Organic Lentil Soup,69
23236,1,Chopped Spinach,116
23265,19,Chives,50
23375,9,Marinara Sauce,9
23400,15,Organic Premium Tomato Paste,81
23410,17,Bathroom Tissue Double Rolls,54
23423,3,Original Hawaiian Sweet Rolls,43
23452,7,100% Carrot Juice,31
23517,6,"Ginger, Pickled Sushi",66
23535,19,Sea Salt Chickpeas,50
23579,19,Peanut Butter Chocolate Chip Fruit & Nut Food Bar,3
23601,13,Clover Honey,29
23622,4,Organic Hot House Tomato,83
23630,19,Multi-Seed Original Crackers,78
23662,13,All Natural White Vinegar,19
23732,19,Cranberry Orange Oat Bar,3
23761,16,Natural Sliced Vermont Sharp White Cheddar Cheese,21
23776,19,Green Apple Chips,50
23904,16,Triple Zero Salted Caramel,120
23955,16,Vanilla Soy Milk,91
24004,19,Goldfish Parmesan Baked Snack Crackers,78
24053,16,Whipped Cream Cheese Spread,108
24082,1,Organic Dark Sweet Cherries,116
24123,11,Aquarium Pump Hand Soap,127
24125,3,Olive Bread,112
24184,4,Red Peppers,83
24235,3,Honey Wheat Enriched Bread,112
24307,13,Chunky Blue Cheese Dressing & Dip,89
24382,13,Ranch Dressing,89
24396,9,Organic Royal Pearl Quinoa,63
24489,1,Organic Whole Strawberries,116
24561,1,Organic Cheese Frozen Pizza,79
24759,7,Club Soda,77
24799,16,Vanilla Skyr Nonfat Yogurt,120
24830,4,Organic Romaine,123
24846,14,Sweet & Fruity Cranberry Granola,57
24852,4,Banana,24
24861,16,Low-Moisture Part-Skim Mozzarella String Cheese Family Size,21
24889,19,Gum Ginger,46
24964,4,Organic Garlic,83
25042,2,Organic Insect Repellent Fresh Natural Scent,6
25064,20,Tofu Plus Organic Firm Tofu,14
25124,15,Whole Kernel Golden Sweet Corn,81
25138,16,Organic Plain Greek Whole Milk Yogurt,120
25230,4,Chopped Onions,123
25237,19,Nutty Bars,61
25256,16,Cultured Low Fat Buttermilk,84
25316,19,Coconut Dreams Cookies,61
25330,19,Pecan Nut & Rice Cracker Snacks,78
25345,8,Chopped Blends With Lamb Brown Rice Carrots Tomatoes & Spinach Dog Food,40
25466,7,Water,115
25569,19,Fudge Stripes Original Cookies,61
25579,12,Naturally Smoked Trout Fillet,15
25590,16,Simply Well Rice Pudding,71
25591,9,Brown Rice,63
25599,20,Lunchables Turkey & Cheddar Sub Sandwich With Smoothie Lunch Combinations,13
25610,1,Organic Pomegranate Kernels,116
25659,16,Organic Coconut Milk,91
25715,4,Organic Green Grapes,24
25718,7,Cold Brew Coffee,26
25743,7,Organic Beef Stock,77
25779,7,"Herbal Tea, Organic, Turmeric Ginger, Caffeine-Free, Bags",94
25830,1,Eggo Blueberry Waffles,52
25832,3,Morning Rounds Muesli Fruit & Grain Buns,93
25877,13,Black Peppercorn Grinder,104
25890,12,Boneless Skinless Chicken Breasts,49
26115,12,Beef Dinner Franks,106
26131,16,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,120
26165,7,Electrolyte Enhanced Water,115
26209,4,Limes,24
26283,4,White Corn,83
26317,7,Organic Lemonade,98
26369,4,Organic Roma Tomato,83
26373,13,Vitamin D Added Evaporated Milk,17
26376,20,Shrimp Spring Roll,13
26555,1,Raspberry Sorbet With Dark Chocolate Bars,37
26588,1,Macaroni & Cheese Tasty American Favorites,38
26915,16,Organic Lowfat Yogurt Banana Vanilla,120
27086,16,Half & Half,53
27104,4,Fresh Cauliflower,83
27156,15,Organic Black Beans,59
27247,16,Original Soy Creamer,91
27307,16,Cage Free Grade A Large Brown Eggs,86
27308,19,Sunflower Nuts Roasted/No Salt,117
27323,16,Pure & Natural Sour Cream,108
27325,7,Alpine Spring Water,115
27344,20,Uncured Genoa Salami,96
27356,20,French Onion Dip,67
27454,19,Organic Mini Sandwich Crackers Cheddar Cheese,78
27509,1,Organic Seasoned Yukon Select Potatoes Hashed Browns,129
27521,4,Organic Lacinato (Dinosaur) Kale,83
27681,14,Lower Sugar Instant Oatmeal  Variety,130
27683,15,Black Beans No Salt Added,59
27695,12,Natural Chicken & Sage Breakfast Sausage,106
27729,7,Cold-Pressed Organic Orange,31
27744,16,Organic Whipping Cream,53
27796,13,Real Mayonnaise,72
27841,4,White Whole Mushrooms,83
27845,16,Organic Whole Milk,84
27891,19,Movie Theater Butter,23
27903,17,CleanCare 1-Ply Double Rolls Toilet Paper,54
27966,4,Organic Raspberries,123
27999,4,Organic Brussel Sprouts,123
28066,7,Double Espresso Cold Brew Coffee,26
28083,3,Healthy Multi Grain Bread,112
